Ticker,Nama,Grup,Sektor,Syariah,Status,Skor,Flag,Harga,PER,PBV,PERvsSektor,PBVvsSektor,ROE%,LabaYoY%,OmzetYoY%,Dividen%,DER,MarketCap(T),Vol20(jt),Nilai(M),VolSpike,RSI14,MA50,MA200,MarginKotor%,MarginOperasi%,MarginBersih%,ROA%,UtangBersih/EBITDA,CurrentRatio,QuickRatio,InterestCoverage,EV/EBITDA,OCF/Laba,FCFYield%,Payout%,Capex/OCF,SkorValuasi,SkorProfitabilitas,SkorKesehatan,SkorPertumbuhan,SkorArusKas,OmzetCAGR3%,LabaCAGR3%,TahunLabaNaik,SahamYoY%,EPS,BVPS,DPS,Saham,Omzet,LabaBersih,EBITDA,EBIT,TotalUtang,Kas,UtangBersih,TotalAset,Ekuitas,OCF,Capex,FCF,Periode,Basis,MataUang
WIIM,Wismilak Inti Makmur Tbk.,,Consumer Defensive,Tidak,JUAL,84,,1630,5.9,1.48,0.56,0.73,26.85,112.3,19.1,6.4,0.08,3.4,1.76,3.0,0.75,42.8,1659.0,1664.0,23.27,11.1,8.53,17.34,0.0,2.48,0.58,43.14,4.35,0.85,6.37,37.87,0.56,90,75,90,83,80,19.9,18.9,2.0,0.54,275.1653,1098.9882,104.4,2086903760.0,6735437680984.0,574243524613.0,782346632397.0,759563775919.0,191637097350.0,199617349150.0,1499076796.0,3395753959222.0,2293482571440.0,490328491484.0,-273493446294.0,216835045190.0,2026-06-30,TTM-gabungan,IDR
PWON,Pakuwon Jati Tbk.,,Real Estate,Tidak,WSE,84,,278,6.0,0.59,0.53,0.63,10.1,104.3,11.1,4.68,0.26,13.4,58.27,15.6,0.5,59.2,263.0,305.0,56.05,41.73,31.17,6.01,0.48,3.02,1.7,9.66,4.87,1.39,19.38,28.25,0.16,90,78,90,75,87,5.9,15.1,2.0,0.0,46.0213,474.3374,13.0,48159602400.0,7111498504000.0,2216369235000.0,3053476156000.0,2988105226000.0,5937497643000.0,4461085075000.0,1476412568000.0,37695717111000.0,22843899845000.0,3074783160000.0,-479866019000.0,2594917141000.0,2026-06-30,TTM-gabungan,IDR
SMDR,Samudera Indonesia  Tbk,,Industrials,Ya,HOLD,70,,362,6.0,0.6,0.51,0.29,10.12,62.3,20.0,3.31,0.95,5.9,14.47,4.8,3.55,80.0,297.0,323.0,17.71,10.8,6.55,3.94,1.29,2.31,2.29,3.74,4.02,2.93,17.51,22.73,0.64,92,63,71,44,82,-11.4,-37.5,1.0,0.0,59.9423,605.957,12.0,16375600000.0,14996157258240.0,981591328320.0,2174152311360.0,2131122530880.0,9377580534720.0,6573056275200.0,2804524259520.0,26319924644640.0,9922909752960.0,2878481108640.0,-1840366005120.0,1038115103520.0,2026-06-30,TTM,USD
ERAA,Erajaya Swasembada Tbk.,,Consumer Cyclical,Ya,HOLD,73,,575,6.4,0.95,0.6,0.54,15.82,63.0,29.0,4.35,0.84,9.0,140.67,74.0,1.2,78.2,421.0,384.0,10.87,2.09,1.67,4.89,1.13,1.26,0.4,4.41,3.24,4.96,66.19,0.0,0.15,91,59,62,75,79,15.7,5.7,2.0,-0.89,90.2487,606.0471,25.0,15642296878.0,84456070239000.0,1411697210000.0,4271014760000.0,2767411601000.0,7980815824000.0,1312396735000.0,4845553666000.0,29348807617000.0,9479968966000.0,7000281261000.0,-1047262921000.0,5953018340000.0,2026-06-30,TTM-gabungan,IDR
ELSA,Elnusa Tbk,,Energy,Ya,HOLD,84,,725,6.5,0.98,0.27,0.44,15.54,31.3,6.5,6.11,0.08,5.3,19.68,14.0,1.1,56.3,668.0,617.0,9.55,6.0,5.4,7.28,-2.33,1.45,1.36,21.24,2.71,2.2,22.93,39.58,0.32,98,68,93,74,91,5.6,23.9,3.0,0.0,111.8901,743.169,44.29,7298500000.0,15119072000000.0,816630000000.0,1049287000000.0,1042859000000.0,442210000000.0,2885629000000.0,-2443419000000.0,11401182000000.0,5424019000000.0,1796043000000.0,-582513000000.0,1213530000000.0,2026-06-30,TTM-gabungan,IDR
WINS,Wintermar Offshore Marine Tb,,Industrials,Ya,HOLD,85,,575,6.7,0.83,0.57,0.41,13.1,116.3,50.2,1.55,0.4,2.6,4.58,2.4,0.78,72.1,525.0,505.0,46.15,36.09,22.97,6.94,0.77,3.77,3.67,17.83,4.55,2.25,4.77,8.52,0.86,88,82,92,92,62,10.1,162.3,2.0,1.02,86.1323,691.2991,8.9,4469785110.0,1675764939840.0,384992666400.0,680641734720.0,676144103520.0,1224946716000.0,700939283520.0,524007432480.0,6677189282400.0,3089958326400.0,866259575520.0,-743589444000.0,122670131520.0,2026-06-30,TTM-gabungan,USD
NOBU,Bank Nationalnobu Tbk.,,Financial Services,Tidak,HOLD,72,,550,7.0,0.92,0.52,1.01,14.07,50.4,30.4,0.0,0.0,4.1,1.98,1.0,2.26,72.1,469.0,509.0,,,31.76,1.48,,,,,,5.47,66.6,0.0,0.15,71,62,,93,59,30.6,66.7,3.0,0.0,78.5185,594.8451,,7478443899.0,1849079000000.0,587196000000.0,,,10193000000.0,4100277000000.0,-4090084000000.0,43160198000000.0,4448516000000.0,3212247000000.0,-472968000000.0,2739279000000.0,2026-06-30,TTM,IDR
BLES,Superior Prima Sukses Tbk.,,Basic Materials,Ya,BOW,80,,187,7.5,1.33,0.6,0.72,19.21,9153.6,63.5,1.01,0.43,1.7,12.2,2.5,1.44,43.7,177.0,157.0,33.44,18.61,13.0,11.11,0.92,1.11,0.89,7.27,5.53,1.78,13.54,7.54,0.67,80,84,74,80,77,10.5,8.6,2.0,0.0,25.0765,140.669,1.89,8890206400.0,1715181453068.0,222935434198.0,361176078639.0,330565318808.0,533689446787.0,162205830991.0,333679239736.0,2133306736804.0,1250576310854.0,396491505120.0,-264125516324.0,225071402699.0,2026-06-30,TTM-gabungan,IDR
INTP,Indocement Tunggal Prakarsa ,LQ45,Basic Materials,Ya,HOLD,83,,5425,7.6,0.81,0.61,0.44,10.55,77.7,15.9,8.63,0.12,17.8,1.57,8.6,0.61,55.1,4949.0,5263.0,32.71,11.18,12.91,7.77,-0.37,1.47,1.09,18.58,5.03,1.57,15.1,66.26,0.27,94,70,91,71,93,2.8,6.9,3.0,-1.98,713.7219,6732.802,468.0,3283724199.0,18149552000000.0,2343666000000.0,3303385000000.0,3008341000000.0,2701245000000.0,3911459000000.0,-1210214000000.0,30231555000000.0,22108665000000.0,3681716000000.0,-990926000000.0,2690790000000.0,2026-06-30,TTM-gabungan,IDR
TLDN,Teladan Prima Agro Tbk.,,Consumer Defensive,Ya,HOLD,83,,645,7.7,2.26,0.73,1.12,30.87,65.3,5.2,13.2,0.21,8.4,2.05,1.2,0.86,70.8,546.0,596.0,34.0,22.81,19.49,17.68,0.07,1.24,0.5,32.99,5.84,1.1,14.41,64.37,0.01,79,91,83,77,83,14.5,24.5,2.0,0.0,84.1135,285.1419,85.15,12946530200.0,5585973861000.0,1088977379000.0,1446591116000.0,1418808736000.0,787400994000.0,258018162000.0,96219476000.0,6342799138000.0,3691598827000.0,1196076050000.0,7636158000.0,1203712208000.0,2026-06-30,TTM-gabungan,IDR
