Ticker,Nama,Grup,Sektor,Syariah,Status,Skor,Flag,Harga,PER,PBV,PERvsSektor,PBVvsSektor,ROE%,LabaYoY%,OmzetYoY%,Dividen%,DER,MarketCap(T),Vol20(jt),Nilai(M),VolSpike,RSI14,MA50,MA200,MarginKotor%,MarginOperasi%,MarginBersih%,ROA%,UtangBersih/EBITDA,CurrentRatio,QuickRatio,InterestCoverage,EV/EBITDA,OCF/Laba,FCFYield%,Payout%,Capex/OCF,SkorValuasi,SkorProfitabilitas,SkorKesehatan,SkorPertumbuhan,SkorArusKas,OmzetCAGR3%,LabaCAGR3%,TahunLabaNaik,SahamYoY%,EPS,BVPS,DPS,Saham,Omzet,LabaBersih,EBITDA,EBIT,TotalUtang,Kas,UtangBersih,TotalAset,Ekuitas,OCF,Capex,FCF,Periode,Basis,MataUang
SRAJ,Sejahteraraya Anugrahjaya Tb,,Healthcare,Tidak,TIPIS,20,"rugi,FCF-,DER>3,bunga<1.5,laba-30%",13000,-420.8,146.07,,81.6,-29.11,-439.7,11.3,0.0,4.55,159.1,0.0,0.0,0.19,46.6,12926,14228.0,38.09,1.25,-12.98,-4.95,28.44,1.4,1.35,0.04,1350.69,-0.78,-0.36,0.0,2.95,9,4,20,45,40,10.2,,2.0,0.0,-30.8953,88.9993,,12238959990.0,2912640000000.0,-378126000000.0,120330000000.0,15081000000.0,4958739000000.0,1530185000000.0,3421666000000.0,7621754000000.0,1089259000000.0,293562000000.0,-866062000000.0,-572500000000.0,2026-06-30,TTM-gabungan,IDR
PSKT,Red Planet Indonesia Tbk.,,Consumer Cyclical,Ya,WSE,30,"rugi,OCF-,FCF-,bunga<1.5",250,-228.2,8.15,,4.63,-3.52,12.8,-3.8,0.0,0.01,2.6,17.36,4.3,1.49,57.9,227,251.0,54.53,-15.23,-21.91,-3.04,,1.11,1.11,-14.7,,0.47,-0.45,0.0,,10,15,54,41,49,-3.8,,1.0,0.0,-1.0955,30.6761,,10351231636.0,51756442289.0,-11339360737.0,-4863013133.0,-6706444710.0,3973550657.0,19155201199.0,500947076.0,361774523343.0,317535659416.0,-5381217332.0,-6292763178.0,-11673980510.0,2026-06-30,TTM,IDR
EMAS,Merdeka Gold Resources Tbk.,,Basic Materials,Tidak,BOW,26,"rugi,OCF-,FCF-,bunga<1.5",7550,-214.4,17.01,,9.66,-9.11,,,0.0,1.0,111.2,24.88,210.1,0.38,42.9,7506,7074.0,11.31,-515.7,-1052.01,-4.36,,1.12,0.7,-1.15,,1.22,-3.51,0.0,,12,28,36,,40,,,1.0,0.0,-35.2163,443.746,,14731366060.0,49313446080.0,-518783843520.0,-275930602080.0,-275930602080.0,6516323837760.0,859738068000.0,4921106873760.0,14373334020480.0,6536985022560.0,-635413461600.0,-3265847541120.0,-3901261002720.0,2026-03-31,TTM-gabungan,USD
SIPD,Sreeya Sewu Indonesia Tbk.,,Consumer Defensive,Ya,TIPIS,39,"rugi,OCF-,FCF-,bunga<1.5,laba-30%",845,-161.7,1.31,,0.65,-0.81,-124.4,16.7,0.0,0.78,1.6,0.03,0.0,0.13,46.3,792,977.0,8.3,1.14,-0.17,-0.33,8.71,1.38,0.65,1.3,26.1,12.11,-13.34,0.0,,39,35,37,44,37,-3.5,,3.0,0.0,-5.2265,643.3792,,1839102056.0,5709930000000.0,-9612000000.0,89403000000.0,73574000000.0,920993000000.0,130248000000.0,779090000000.0,2806746000000.0,1183240000000.0,-116435000000.0,-90860000000.0,-207295000000.0,2026-06-30,TTM,IDR
TFCO,Tifico Fiber Indonesia Tbk.,,Consumer Cyclical,Ya,TIPIS,54,"rugi,OCF-,FCF-",850,-142.9,0.73,,0.41,-0.51,246.1,7.1,0.0,0.0,4.1,0.0,0.0,0.04,54.5,814,732.0,0.77,-0.88,-0.84,-0.47,-20.33,6.2,3.37,21.77,137.44,12.41,-9.47,0.0,,43,34,100,54,37,-5.8,,0.0,0.0,-5.9484,1160.8578,,4823076400.0,3433127187360.0,-28689592800.0,25984212000.0,24753923520.0,15605712000.0,543964291200.0,-528358579200.0,6110001482400.0,5598905765280.0,-356003533440.0,-32268836640.0,-388272370080.0,2026-06-30,TTM,USD
NATO,Olympus Strategic Indonesia ,,Consumer Cyclical,Tidak,HOLD,32,"rugi,bunga<1.5,laba-30%",1240,-120.2,4.74,,2.69,-5.71,-3439.4,9678.6,0.0,0.06,9.9,1.22,1.3,0.11,70.9,817,636.0,-52.78,-65.86,-23.3,-3.22,,0.88,0.73,-64.69,,-11.91,9.9,0.0,0.0,10,3,47,61,69,50.7,,2.0,0.0,-10.3166,261.5947,,8001111504.0,354328620562.0,-82543881555.0,-175366286626.0,-178578542220.0,116955532000.0,529646607961.0,-412691075961.0,4320822617478.0,2093048146797.0,982859899181.0,-531306900.0,982328592281.0,2026-03-31,TTM,IDR
NICE,Adhi Kartiko Pratama Tbk.,,Basic Materials,Ya,HOLD,29,"rugi,FCF-",354,-113.1,10.31,,5.86,-8.72,14.5,53.2,0.0,1.13,2.2,5.23,1.9,0.15,55.1,304,327.0,21.48,3.94,-1.45,-2.98,3.43,0.53,0.33,5.01,45.78,-7.75,-3.84,0.0,1.56,10,6,42,63,35,10.7,,0.0,0.0,-3.1308,34.3334,,6082020000.0,1309575484692.0,-19041524388.0,50837105695.0,45552686354.0,236800847135.0,62591906389.0,174208940746.0,803295931002.0,208816633528.0,147596902339.0,-230363931636.0,-82767029297.0,2026-03-31,TTM,IDR
BINA,Bank Ina Perdana Tbk.,,Financial Services,Tidak,JUAL,21,rugi,4010,-74.8,8.28,,9.3,-9.97,-16.3,11.2,0.0,0.01,24.6,0.43,1.8,1.1,43.0,4128,4252.0,,,-45.47,-1.11,,,,,,-15.02,19.23,0.0,0.02,9,2,,42,59,4.1,,1.0,0.0,-53.5826,484.3192,,6134716665.0,722972000000.0,-328714000000.0,,,35646000000.0,4824360000000.0,-4788714000000.0,34445349000000.0,2971161000000.0,4937465000000.0,-101538000000.0,4730377000000.0,2026-06-30,TTM-gabungan,IDR
MGRO,Mahkota Group Tbk.,,Consumer Defensive,Tidak,HOLD,25,"rugi,DER>3,bunga<1.5",705,-67.2,7.88,,3.92,-10.02,44.6,53.0,0.0,7.1,2.5,4.22,2.9,0.94,63.3,679,702.0,4.78,0.73,-0.55,-1.23,36.46,0.61,0.32,0.45,79.74,-7.54,11.0,0.0,0.02,9,4,6,67,73,-5.5,,1.0,-1.05,-10.4951,89.444,,3488375600.0,6659076413801.0,-36610929066.0,56821167047.0,46357730839.0,2215179137897.0,143291032193.0,2071614630980.0,2858298930212.0,312014430720.0,275883385280.0,-5368705956.0,270514679324.0,2026-06-30,TTM-gabungan,IDR
KMTR,Kirana Megatara Tbk.,,Consumer Cyclical,Tidak,TIPIS,33,"rugi,OCF-,FCF-,bunga<1.5,laba-30%",250,-64.3,0.97,,0.55,-1.51,-108.6,-8.2,0.0,1.43,2.1,0.11,0.0,0.09,52.1,241,255.0,4.86,1.79,-0.27,-0.55,21.12,1.31,0.59,0.87,37.11,5.62,-10.91,0.0,,41,35,29,25,37,3.8,,1.0,0.0,-3.8908,258.4357,,8215366379.0,11948261438833.0,-31964594098.0,128462203230.0,117874882302.0,3026750342046.0,313619456853.0,2713130885193.0,5472080263841.0,2123144070660.0,-179629649522.0,-44490603341.0,-224120252863.0,2026-06-30,TTM-gabungan,IDR
