Ticker,Nama,Grup,Sektor,Syariah,Status,Skor,Flag,Harga,PER,PBV,PERvsSektor,PBVvsSektor,ROE%,LabaYoY%,OmzetYoY%,Dividen%,DER,MarketCap(T),Vol20(jt),Nilai(M),VolSpike,RSI14,MA50,MA200,MarginKotor%,MarginOperasi%,MarginBersih%,ROA%,UtangBersih/EBITDA,CurrentRatio,QuickRatio,InterestCoverage,EV/EBITDA,OCF/Laba,FCFYield%,Payout%,Capex/OCF,SkorValuasi,SkorProfitabilitas,SkorKesehatan,SkorPertumbuhan,SkorArusKas,OmzetCAGR3%,LabaCAGR3%,TahunLabaNaik,SahamYoY%,EPS,BVPS,DPS,Saham,Omzet,LabaBersih,EBITDA,EBIT,TotalUtang,Kas,UtangBersih,TotalAset,Ekuitas,OCF,Capex,FCF,Periode,Basis,MataUang
NCKL,Trimegah Bangun Persada Tbk.,,Basic Materials,Tidak,WSE,86,kas<laba,945,5.6,1.36,0.46,0.75,27.87,87.2,44.3,4.51,0.2,59.5,44.68,42.1,0.83,55.4,872.0,1028.0,28.12,24.01,32.68,16.9,0.28,1.69,0.88,23.36,4.48,0.49,7.22,0.0,0.17,89,79,88,95,73,45.8,24.2,3.0,-0.12,169.2943,696.521,42.64,62987866700.0,32634946000000.0,10663487000000.0,14181770000000.0,14086999000000.0,8915750000000.0,4885730000000.0,4030020000000.0,70985378000000.0,43872369000000.0,5174942000000.0,-878467000000.0,4296475000000.0,2026-06-30,TTM-gabungan,IDR
ASSA,Adi Sarana Armada Tbk.,,Industrials,Ya,WSE,74,,635,5.7,1.04,0.47,0.52,19.15,0.7,10.1,7.87,1.94,2.3,9.16,5.8,1.55,53.3,614.0,860.0,31.32,15.81,6.65,4.8,2.89,0.99,0.92,3.6,4.99,2.66,31.41,44.64,0.33,96,75,44,69,90,0.7,59.5,3.0,0.0,112.0035,612.5153,50.0,3691137517.0,6217896056610.0,413420390553.0,1115751291511.0,1023241688452.0,4385387534441.0,1124492275976.0,3219202689859.0,9015923836764.0,2260878191223.0,1097842164724.0,-361704487852.0,736137676872.0,2026-06-30,TTM-gabungan,IDR
UNIC,Unggul Indah Cahaya Tbk,,Basic Materials,Ya,TIPIS,85,,14900,5.7,1.03,0.47,0.57,18.52,248.7,21.4,14.16,0.02,5.7,0.03,0.4,1.52,61.3,13678.0,10801.0,21.17,16.63,13.47,15.58,-2.12,6.47,4.54,223.81,2.32,1.34,19.65,64.14,0.16,96,83,100,57,89,-0.9,-1.3,1.0,0.0,2601.4819,14419.348,2110.0,383331363.0,7401534629760.0,997229612160.0,1284455485440.0,1267931918880.0,100319775360.0,2827159290720.0,-2726839515360.0,6612075989760.0,5527388323200.0,1336319107680.0,-214255645440.0,1122063462240.0,2026-06-30,TTM-gabungan,USD
ERAA,Erajaya Swasembada Tbk.,,Consumer Cyclical,Ya,HOLD,73,,520,5.8,0.86,0.56,0.49,15.82,63.0,29.0,4.81,0.84,8.1,107.03,50.8,1.89,79.6,406.0,381.0,10.87,2.09,1.67,4.89,1.13,1.26,0.4,4.41,3.04,4.96,73.19,0.0,0.15,93,59,62,75,79,15.7,5.7,2.0,-0.89,90.2487,606.0471,25.0,15642296878.0,84456070239000.0,1411697210000.0,4271014760000.0,2767411601000.0,7980815824000.0,1312396735000.0,4845553666000.0,29348807617000.0,9479968966000.0,7000281261000.0,-1047262921000.0,5953018340000.0,2026-06-30,TTM-gabungan,IDR
WIIM,Wismilak Inti Makmur Tbk.,,Consumer Defensive,Tidak,JUAL,84,,1640,6.0,1.49,0.58,0.74,26.85,112.3,19.1,6.37,0.08,3.4,1.77,3.0,0.61,42.9,1659.0,1660.0,23.27,11.1,8.53,17.34,0.0,2.48,0.58,43.14,4.38,0.85,6.34,37.87,0.56,89,75,90,83,80,19.9,18.9,2.0,0.54,275.1653,1098.9882,104.4,2086903760.0,6735437680984.0,574243524613.0,782346632397.0,759563775919.0,191637097350.0,199617349150.0,1499076796.0,3395753959222.0,2293482571440.0,490328491484.0,-273493446294.0,216835045190.0,2026-06-30,TTM-gabungan,IDR
DMAS,Puradelta Lestari Tbk.,,Real Estate,Ya,HOLD,78,,202,6.2,1.39,0.56,1.53,21.4,5.2,47.7,8.17,0.0,9.7,394.6,72.8,1.05,74.4,149.0,130.0,68.61,63.51,62.4,17.97,-1.27,4.12,1.53,106.4,4.65,0.99,15.01,50.99,0.05,75,89,99,41,86,-12.2,-13.0,1.0,0.0,32.357,145.3753,16.5,48198111100.0,2499179915182.0,1559544915123.0,1646176577032.0,1617418464986.0,1054170512.0,2085029615467.0,-2083975444955.0,8790484116231.0,7006813446025.0,1543458041828.0,-82307605844.0,1461150435984.0,2026-06-30,TTM-gabungan,IDR
ELSA,Elnusa Tbk,,Energy,Ya,BUY,84,,715,6.4,0.96,0.29,0.45,15.54,31.3,6.5,6.19,0.08,5.2,20.41,14.4,1.64,56.0,653.0,612.0,9.55,6.0,5.4,7.28,-2.33,1.45,1.36,21.24,2.64,2.2,23.25,39.58,0.32,97,68,93,74,91,5.6,23.9,3.0,0.0,111.8901,743.169,44.29,7298500000.0,15119072000000.0,816630000000.0,1049287000000.0,1042859000000.0,442210000000.0,2885629000000.0,-2443419000000.0,11401182000000.0,5424019000000.0,1796043000000.0,-582513000000.0,1213530000000.0,2026-06-30,TTM-gabungan,IDR
PBID,Panca Budi Idaman Tbk.,,Consumer Cyclical,Ya,TIPIS,84,,525,6.4,1.33,0.61,0.75,20.55,179.4,43.0,10.1,0.07,3.9,1.03,0.5,0.48,51.2,506.0,468.0,21.85,13.51,10.72,17.04,0.02,3.79,1.41,56.06,4.63,0.95,13.28,64.37,0.1,90,78,96,73,86,1.1,4.3,2.0,0.0,82.3387,393.7758,53.0,7500000000.0,5762894648000.0,617540535000.0,853358805000.0,822875279000.0,209911231000.0,183643970000.0,17117465000.0,3686511847000.0,2953318454000.0,583985809000.0,-60925447000.0,523060362000.0,2026-06-30,TTM-gabungan,IDR
SPTO,Surya Pertiwi Tbk.,,Consumer Cyclical,Ya,TIPIS,80,,620,6.5,0.98,0.62,0.56,15.11,2.1,4.4,11.29,0.12,1.7,0.5,0.3,1.45,63.3,592.0,591.0,28.51,11.96,9.11,7.57,0.15,1.99,1.17,21.28,4.42,1.49,18.27,73.39,0.16,93,74,92,54,87,3.5,9.4,2.0,0.0,95.3895,635.0077,70.0,2700000000.0,2827568212740.0,257551605977.0,392511462848.0,362778860437.0,200799096147.0,213260340965.0,60715026094.0,3363145425699.0,1714520918189.0,383612222381.0,-62413807414.0,305797681634.0,2026-06-30,TTM-gabungan,IDR
BMRI,Bank Mandiri (Persero) Tbk,LQ45,Financial Services,Tidak,HOLD,71,,4360,6.5,1.42,0.47,1.6,23.11,13.9,-5.3,10.94,0.79,405.4,123.8,520.9,1.09,62.6,4159.0,4327.0,,,45.01,2.49,,,,,,0.1,-0.09,71.47,1.06,69,77,,60,83,6.6,11.0,3.0,-0.39,669.5596,3061.0218,476.96,92973333332.0,138319198000000.0,62251187000000.0,,,225867427000000.0,270161458000000.0,-44294031000000.0,2527568193000000.0,284593401000000.0,6171549000000.0,-6549172000000.0,-377623000000.0,2026-06-30,TTM-gabungan,IDR
